,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,AccGapWiden-Widening,ColTime
0,0.753801192308217,12.549357405827,11.5031585981352,0.0918495203441552,0,1,0,1,0,1,0,1,125.23917985672091
1,2.65650175925813,11.6841575814012,6.13452709501792,4.80792407660817,0,1,0,1,0,1,0,1,1.2759201262898527
2,1.66859267752106,12.310611560253,8.15232949782462,0.389052876508146,0,1,0,1,0,1,0,1,20.95429693514662
3,1.25782367233498,12.9860082261993,12.4438318985344,2.00432572888485,0,1,0,1,0,1,0,1,6.208487831694799
5,1.42718515673849,12.1650010433924,5.06774828498786,1.97256283177467,0,1,0,1,0,1,0,1,2.569118815053674
6,1.26702038401331,12.8656767131244,7.96481955923528,1.37815518540992,0,1,0,1,0,1,0,1,5.7793343184833095
7,3.84621832490015,13.6444531865228,13.9692307692307,0.696206154136547,0,1,0,1,0,1,0,1,20.064790703488832
8,1.57706715357662,8.99718694783705,0.939894604005257,0.993910119261052,0,1,0,1,0,1,0,1,0.9456535211695458
9,0.745672774575645,10.5742541014137,2.61928845774337,1.67939385373811,0,1,0,1,0,1,0,1,1.5596630009769168
10,2.48554447011637,10.2388367259231,3.69264365875503,1.60529239107409,0,0,0,1,0,1,0,1,2.300293503717605
11,1.85165764821375,9.33672196927329,23.9962209569115,2.78577510294776,0,1,0,1,0,1,0,1,8.613839979946682
13,1.43730964519025,10.7953186649783,2.83946394371731,1.59598568284775,0,1,0,1,0,1,0,1,1.7791287066252348
15,0.193908503800998,10.6014776644696,29.1296136960183,0.366083196611399,0,1,0,1,0,1,0,1,79.5710209199787
16,0.406738682755392,9.08580368655982,17.9453460631877,0.120603605217664,0,1,0,1,0,1,0,1,148.7960996754628
18,0.825411057378687,11.4128702836166,17.5280375300835,4.40308295265027,0,1,0,1,0,1,0,1,3.980855622884224
19,1.24475409545001,10.8123251434388,20.0904125722222,3.4886318330451,0,1,0,1,0,1,0,1,5.758822808965201
20,1.25088863864511,15.7420770481988,25.2594816856963,0.357772283986947,1,0,0,1,0,1,0,1,70.6021198853343
21,0.0315940624148823,15.1002387790775,6.36454283608623,0.707985204394362,0,1,0,1,0,1,0,1,8.989655146156206
22,0.498130434021583,9.20191918199,9.21982324773895,1.60957073241561,0,1,0,1,0,1,0,1,5.728125556745202
23,1.28277892866696,8.17534398578831,2.41037562373133,1.52470563022328,0,1,0,1,0,1,0,1,1.5808793356251667
24,0.269257300357296,8.81810229623758,3.39324582692596,2.67395585119491,0,1,0,1,0,1,0,1,1.268998448650385
25,0.278822051319789,9.33613635991291,14.0114899144056,1.4753535544927,0,1,0,1,0,1,0,1,9.497038775375742
26,1.38614572433855,13.3694271378307,13.5805728621693,2.52951913015866,0,1,1,0,0,1,0,1,5.368835799758305
27,1.30689549226435,9.86540489999066,16.4142429110052,0.870019479729365,0,1,0,1,0,1,0,1,18.86652344394765
28,0.283255286467144,9.82655229755658,11.203335447941,0.555173668272834,0,1,0,1,0,1,0,1,20.17987539429778
29,0.612538301403859,10.1098075840237,12.846973451753,1.64363800381199,0,1,0,1,0,1,0,1,7.816181800346422
30,2.69640840091735,9.15024111444345,16.1176401846634,1.98285913249336,0,1,0,1,0,1,0,1,8.128484732244273
31,1.76376029905279,9.09428144323464,3.95355041014339,1.20002297716167,0,0,0,1,0,1,0,1,3.2945622587114496
