,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,ColTime
3769,-1.7657124074796,14.6517717695411,7.40736844335849,-1.22064457851604,0,0,1,0,0,1,0,-6.068407277377797
3770,-1.42921680394178,13.3978121675632,7.78352534976156,-0.416474650238428,0,1,0,1,0,1,0,-18.68907350136572
3771,-1.26456267244313,14.2948717948718,18.270115947664,-0.210935852639295,0,1,0,1,0,1,0,-86.61455944573966
3772,-1.97557923285571,12.8207461400898,2.31897039598775,-2.0592755398002,0,1,0,1,0,1,0,-1.1261098144315096
3773,-0.123943468328463,12.8711608594089,2.09411376966892,-2.02599395217489,0,1,0,1,0,1,0,-1.0336229125565273
3774,-0.270251978624643,11.4473988707016,12.1568510214203,-0.289504133859552,1,0,0,1,0,1,0,-41.991977314279005
3775,-0.205043436290445,9.21399058222035,4.3619881629422,-2.20551034958197,0,1,0,1,0,1,0,-1.9777681677027574
3776,-1.07797660554161,13.4344465561156,20.139997757325,-2.11178831458197,0,1,1,0,0,1,0,-9.536939672531394
3777,-1.94429786580389,12.5747173560332,5.29708615689597,-1.39018750764276,1,0,0,1,0,1,0,-3.810339344710308
3778,-1.47394360899794,15.8597885499274,11.4240290297996,-2.63575952012781,0,1,1,0,0,1,0,-4.334245572314443
3779,-4.53227158613021,14.3821174966194,13.1489757513175,-0.74536394420204,0,1,1,0,0,1,0,-17.641013968544353
3780,-4.8,12.7116707524881,6.87896977396653,-0.759470482287611,0,1,0,1,0,1,0,-9.057586745499698
3781,-0.205928507142209,11.6100653492136,11.6296063468135,-0.0870840802994639,0,1,0,1,0,1,0,-133.54457332295087
3783,-1.57325251008108,11.7391064082834,14.0863386005176,-2.1808425550021,0,1,0,1,0,1,0,-6.459126803174489
3784,-2.94968817175712,13.8788878437749,23.4829253688758,-3.33360416362012,0,1,0,0,0,1,0,-7.0443052672980135
3786,-0.40073489366795,11.393477302303,7.76417098006362,-0.976810635636316,0,1,0,1,0,1,0,-7.948491444307287
3787,-0.6055264279752,16.503344087878,29.0676808780765,-1.35891652512223,1,0,0,1,0,1,0,-21.390335860005795
3788,-0.897264780479247,17.6539206102813,26.7558090993205,-1.58368842450002,1,0,0,1,0,1,0,-16.894616823234955
3790,-2.68350586006747,16.4518703349057,19.949001969574,-2.03758809178751,0,1,0,1,0,1,0,-9.790497917600895
3791,-0.13364876965008,11.1923677421061,14.0337302034962,-0.711543862761971,0,1,0,1,0,1,0,-19.72293057102908
3792,-2.67663398013025,14.3641339801302,5.2,-3.0308006467969,0,1,0,1,0,1,0,-1.715718255998004
3793,-1.43783277003328,17.9302754949332,14.6924427248998,-0.24529776310348,0,1,1,0,0,1,0,-59.89635836467748
3794,-1.56149377639946,16.6765102872849,5.8218635229772,-0.281706467752798,1,0,0,1,0,1,0,-20.666417670204076
3795,-0.741142729415913,15.9113559449266,8.8111802064478,-4.19789340111484,1,0,0,1,0,1,0,-2.0989528233632146
3797,-0.525280524278315,12.9901245660197,12.4772983909513,-0.379492841735072,0,1,0,0,0,1,0,-32.878876802798395
3798,-0.411391842098938,11.4916417779039,14.1709491164963,-1.63695745215172,1,0,0,1,0,1,0,-8.656882986096623
3799,-0.195553715066382,15.8966356888512,21.4623973202116,-0.704269346455078,1,0,1,0,0,1,0,-30.474700380248034
3800,-0.879338954212201,13.9068122849473,19.3942170975042,-2.22860155040557,0,1,0,1,0,1,0,-8.702415689325337
3801,-1.02639648097261,13.063029895103,28.9895187461317,-5.06738975413484,0,1,0,1,0,1,0,-5.720799100262045
3802,-0.239655307775251,16.0256996757295,8.73768524228191,-2.78801443344759,1,0,1,0,0,1,0,-3.1340172193718177
3803,-0.600755179353825,15.6326527226088,21.0522815330301,-0.372460727721318,1,0,1,0,0,1,0,-56.52215110523493
3804,-0.282990573414324,12.3705100721763,2.11127824642857,-0.984036506464193,0,0,1,0,0,1,0,-2.145528374770103
3805,-0.592385871576241,12.6459573001477,8.26785714285714,-0.522282863707545,1,0,0,0,0,1,0,-15.83022863159985
3806,-1.61349473941708,16.0257514242487,29.3477689325637,-3.02255933691738,0,1,0,1,0,1,0,-9.709575780402918
3807,-3.42541302358688,16.5039341564728,21.7109823162493,-7.04771389515454,0,1,0,1,0,1,0,-3.0805708970643777
3808,-0.193682024379513,13.9008624758372,21.1791576631638,-1.72015291507154,0,1,1,0,0,1,0,-12.312369137416468
3809,-3.44996606220965,12.6651539712757,21.0144961246187,-0.8102902001676,1,0,1,0,0,1,0,-25.934530764745855
3811,-0.545804099255406,15.0618589711797,10.6348893346827,-1.94011066531732,0,1,1,0,0,1,0,-5.481589027264732
3812,-0.515208350259655,12.557095288639,4.87078205641436,-0.640584722402338,0,1,0,1,0,1,0,-7.603650049829197
3813,-1.36815740162956,11.9501043418404,15.4804277640686,-1.08495685131604,0,1,0,1,0,1,0,-14.268242783379838
3814,-0.948297407262544,15.6906979372317,17.959694348941,-2.49832036666521,0,1,1,0,0,1,0,-7.188707496674588
3815,-2.11278321730491,15.5656611656762,19.3477789932172,-1.04960629375192,1,0,0,1,0,1,0,-18.433367928899017
3816,-1.20617676533814,10.5230628151957,2.95785304079473,-1.46749211176487,1,0,0,1,0,1,0,-2.01558360490094
3817,-1.45952747533565,13.9695597389697,5.67728770132261,-1.4589387043138,1,0,1,0,0,1,0,-3.891381923404984
3818,-4.8,19.0907245564235,21.8802722454107,-2.88418058282002,0,1,0,1,0,1,0,-7.586304538538004
3819,-3.15529926538866,16.1939475372726,12.4440441197713,-1.34687718613759,1,0,0,1,0,1,0,-9.239182494030365
3820,-0.698650788816508,14.4680813937697,11.1188763696066,-1.40022082855242,1,0,0,1,0,1,0,-7.94080200985265
3821,-2.14172212325187,14.969771486804,20.3607516383822,-0.831806054079124,1,0,1,0,0,1,0,-24.477763222008747
3822,-2.60061825577718,13.9691864792411,7.38701896166924,-1.50257715691352,0,1,0,1,0,1,0,-4.916232705708833
3824,-2.55944509408562,13.6456265122214,13.218858603843,-1.36311351172151,0,1,0,1,0,1,0,-9.697547922585386
3825,-0.268719048794015,13.0922466217334,5.35474752535808,-0.0790721344351475,0,1,0,1,0,1,0,-67.71977971266068
3826,-4.8,16.701607655023,17.456292705995,-2.87588109315351,0,1,1,0,0,1,0,-6.069893761446698
3827,-0.845409452840514,12.939215209057,3.23721057836703,-1.25287524430378,0,1,0,1,0,1,0,-2.5838251598353996
3828,-0.199625557512803,17.5438596491228,26.1735147322854,-1.77931923766084,1,0,0,1,0,1,0,-14.709847551973915
3829,-0.388768127349408,13.9057207826206,7.05281651130278,-2.32990765616665,0,0,0,1,0,1,0,-3.027079846978415
3830,-2.34749867962199,19.3435512263752,26.3797188149951,-7.72642948288927,0,1,1,0,0,1,0,-3.4142185434313315
3831,-1.0843979154388,12.56143255243,4.22569966511647,-0.00491001859506213,0,1,1,0,0,1,0,-860.6280370029839
3833,-2.13594041621053,15.4815085563782,3.89145900600444,-1.81525013610212,0,1,0,1,0,1,0,-2.143759104384675
3834,-1.07873473083021,13.8354621617854,4.6961505174161,-0.586744219425981,0,0,1,0,0,1,0,-8.003743985770155
3836,-1.41664806460167,13.1838000493848,14.4916777797815,-2.27673765421878,0,1,0,1,0,1,0,-6.365106560665221
3837,-1.17893586567413,11.4583333333333,14.4916666666666,-2.32369543004353,0,1,0,1,0,1,0,-6.236474229497076
3840,-1.03695941204799,14.5150318109282,7.56203102809152,-2.8123583157948,1,0,0,1,0,1,0,-2.6888575988420653
